parameter_label,value,x,y,z,z_mode,roll,yaw,blank,catmull_x,catmull_y,catmull_z,catmull_z_mode,catmull_roll,catmull_yaw
checkpoint_end_row,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
catmull_rom,1.0,0.0,0.0,0.1,0.0,0.0,0.0,,0.0,0.0,0.1,0.0,0.0,0.0
catmull_end_row,20.0,1.0,0.0,0.1,0.0,0.0,0.0,,0.399,0.0,0.1303,0.0,0.0,0.0
catmull_density,100.0,2.0,0.0,0.1,0.0,0.0,0.0,,0.8097,0.0,0.1059,0.0,0.0,0.0
catmull_min_distance,0.4,1.0,-1.0,0.1,0.0,0.0,0.0,,1.0,0.0,0.1,0.0,0.0,0.0
catmull_orient_LERP,1.0,2.0,0.0,0.1,0.0,0.0,0.0,,1.4086,0.0297,0.1,0.0,0.0,0.0
,,1.0,1.0,0.1,0.0,0.0,0.0,,1.8111,0.0567,0.1,0.0,0.0,0.0
,,,,,,,,,2.0,0.0,0.1,0.0,0.0,0.0
,,,,,,,,,1.7688,-0.3269,0.1,0.0,0.0,0.0
,,,,,,,,,1.4689,-0.6057,0.1,0.0,0.0,0.0
,,,,,,,,,1.1562,-0.8725,0.1,0.0,0.0,0.0
,,,,,,,,,1.0,-1.0,0.1,0.0,0.0,0.0
,,,,,,,,,1.3289,-0.7619,0.1,0.0,0.0,0.0
,,,,,,,,,1.6422,-0.5013,0.1,0.0,0.0,0.0
,,,,,,,,,1.9217,-0.1961,0.1,0.0,0.0,0.0
,,,,,,,,,2.0,0.0,0.1,0.0,0.0,0.0
,,,,,,,,,1.8046,0.3434,0.1,0.0,0.0,0.0
,,,,,,,,,1.488,0.6061,0.1,0.0,0.0,0.0
,,,,,,,,,1.1586,0.8586,0.1,0.0,0.0,0.0
,,,,,,,,,1.0,1.0,0.1,0.0,0.0,0.0
